Especie,A,B,C,D,Total
Achromobacter piechaudii,0,1,0,0,1
Actinomyces graevenitzii,1,0,1,0,2
Actinomyces meyeri,0,0,1,0,1
Actinomyces odontolyticus,1,1,1,2,5
Atopobium parvulum,0,0,3,1,4
Atopobium rimae,0,0,1,0,1
Bulleidia moorei,1,1,2,1,5
Campylobacter concisus,0,0,3,0,3
Campylobacter showae,1,0,0,0,1
Centipeda periodontii,0,1,0,0,1
Comamonas testosteroni,0,1,0,0,1
Delftia acidovorans,0,1,0,1,2
Eubacterium sulsi,0,1,0,1,2
Filifactor alocis,0,0,0,1,1
Fusobacterium naviforme,2,0,0,0,2
Fusobacterium nucleatum,3,0,2,1,6
Fusobacterium simiae,1,0,0,0,1
Gemella haemolysans,2,1,0,6,9
Gemella morbillorum,1,0,0,0,1
Gemella sanguinis,3,0,1,0,4
Granulicatella adiacens,7,1,2,5,15
Granulicatella elegans,0,2,0,0,2
Haemophilus parainfluenzae,1,0,0,0,1
Haemophilus paraphrophilus,1,0,0,2,3
Haemophilus segnis,0,1,0,0,1
Lactobacillus delbrueckii,0,0,8,0,8
Lactobacillus fermentum,0,0,2,0,2
Lactobacillus frumenti,0,0,1,0,1
Lactobacillus gasseri,0,1,10,0,11
Lactobacillus salivarius,0,0,4,0,4
Megasphaera micronuciformis,3,8,7,1,19
Mogibacterium vescum,0,0,1,0,1
Neisseria pharyngis,1,0,0,0,1
Neisseria subflava,1,0,0,0,1
Porphyromonas endodontalis,3,0,0,3,6
Porphyromonas gingivalis,0,0,0,2,2
Prevotella denticola,0,0,2,0,2
Prevotella intermedia,0,1,0,3,4
Prevotella melaninogenica,0,5,0,9,14
Prevotella nigrescens,0,0,0,1,1
Prevotella oris,0,0,2,0,2
Prevotella pallens,5,2,2,5,14
Prevotella veroralis,23,13,9,0,45
Rothia mucilaginosus,1,2,14,3,20
Selenomonas sputigena,0,0,0,1,1
Shewanella baltica,0,0,0,1,1
Streptococcus anginosus,0,0,0,1,1
Streptococcus cristatus,0,0,0,1,1
Streptococcus gordonii,0,1,0,1,2
Streptococcus infantis,0,0,6,2,8
Streptococcus intermedius,0,0,1,0,1
Streptococcus mitis,1,47,6,115,169
Streptococcus oralis,18,0,0,7,25
Streptococcus parasanguis,24,4,29,10,67
Streptococcus thermophilus,34,14,42,10,100
Tennerella forsythensis,1,0,0,0,1
Haemophilus AB098612,0,0,2,0,2
Veillonella atypica,8,22,21,15,66
Veillonella dispair,26,15,18,13,72
Yersinia krist,1,0,0,0,1
Actinomyces AF385521,0,0,4,0,4
Bacteroides AF385513,1,6,1,3,11
Bacteroidetes AJ289174,0,0,4,0,4
Clostridiales AF201981,0,0,2,2,4
Clostridiales AF287770,1,3,4,0,8
Clostridiales AF287772,0,0,0,1,1
Clostridiales AF385508,0,1,0,0,1
Clostridiales AF385510,2,0,0,0,2
Clostridium AF385563,0,1,0,0,1
Clostridium AY278618,1,1,7,1,10
Fusobacterium AF287806,0,0,0,1,1
Haemophilus AB098612,0,0,2,0,2
Leptotrichia AF385571,0,5,0,2,7
Leptotrichia AY278621,0,2,0,1,3
Neisseria AY093465,0,0,0,1,1
Peptostreptococcus AF287763,0,0,0,2,2
Porphyromonas AY008310,0,0,0,1,1
Prevotella AF366269,0,11,2,2,15
Prevotella AF385512,1,2,13,0,16
Prevotella AF385551,0,4,13,0,17
Prevotella AF432133,1,17,0,1,19
Prevotella AJ012605,0,0,0,1,1
Prevotella AJ289182,0,0,0,1,1
Prevotella AY005064,0,0,1,0,1
Prevotella AY005065,0,0,0,1,1
Prevotella AY093466,0,0,0,1,1
Prevotella AY207061,0,0,0,3,3
Paenibacillus AY167820,0,0,1,0,1
Rothia AF543276,0,0,0,2,2
Selenomonas AF287795,0,1,0,0,1
Selenomonas AF385514,0,1,0,1,2
TM7 AF385500,0,1,0,0,1
TM7 AF385506,0,0,0,1,1
TM7 AF385520,4,1,5,1,11
Selenomonas sp,0,1,0,0,1
Veillonella sp,0,0,3,0,3
